Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	177073258	177092418	3	-0.764635503292084
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	177098699	242663303	5024	-0.0487917065620422
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	41866	9287565	1275	-0.0778195261955261
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	9293416	9404959	11	0.429466366767883
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	9451070	9691403	13	-0.157785177230835
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	9702640	10062638	27	0.493485450744629
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	10108710	37562448	2417	-0.091913104057312
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	37567527	37730648	26	0.432183682918549
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	37748433	39776189	218	-0.138665527105331
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	39797169	41292808	125	0.630128383636475
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	41329514	45564415	440	-0.565741121768951
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	45571449	45573103	2	-1.46754723787308
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	45580790	52582328	422	-0.561713010072708
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	52616162	52624130	2	-5.86172842979431
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	52643678	67247793	1628	-0.538547575473785
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	67259375	67259464	2	-3.78460168838501
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	67264657	85235677	1175	-0.507729768753052
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	85366772	90191897	227	0.300280809402466
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	90308136	96093730	39	0.73771333694458
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	96302925	136430552	3030	0.195711612701416
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	136432049	171377037	2352	0.418901860713959
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	171461346	174904007	260	0.635145723819733
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	174911431	188970220	929	0.348616719245911
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	3	188976871	199284641	793	0.435167551040649
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	26568	7372011	711	-0.227941632270813
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	7380568	7380568	1	-6.09822750091553
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	7385325	7385325	1	-1.88368463516235
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	7392595	14426194	910	-0.157991677522659
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	14435738	15274904	111	0.433164119720459
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	15301859	53306659	2643	-0.11754322052002
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	53336881	57775930	423	0.509767174720764
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	57804878	60322654	169	0.747339010238647
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	60384398	63386746	162	-0.500974625349045
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	63467307	65744751	111	0.862560987472534
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	65849171	90253709	1733	-0.502537965774536
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	90280498	92514491	142	-0.299559742212296
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92537545	92537545	1	-6.11982107162476
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92539047	92584339	4	-3.76370072364807
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92592745	92600117	5	-5.43269538879395
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92611175	92794402	7	-4.15494251251221
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92794524	92794524	1	-0.825496971607208
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92910261	92910261	1	-4.06600999832153
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92915691	92915691	1	-7.69210290908813
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	92989894	93074991	4	-2.4642995595932
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	93125815	114208775	1166	-0.555078208446503
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	114225095	114233089	2	-1.55913871526718
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	114233147	169481301	3375	-0.55507218837738
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	169489751	169489878	2	-2.9645060300827
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	4	169515667	191012638	1572	-0.585382699966431
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	165712	28534740	2581	0.607606172561646
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	28541568	28629675	5	1.26379108428955
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	28678983	32445940	313	0.555548310279846
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	32448249	41681940	890	0.12898063659668
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	41710414	115552819	4854	0.217876613140106
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	115560964	115561306	2	-2.48416113853455
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	115569176	118973988	309	0.181176424026489
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	118988022	118989273	2	-5.13723063468933
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	118992036	128972867	716	0.233129024505615
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	128989963	128997514	2	-1.6140673160553
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	129002141	152531056	2303	0.170454025268555
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	152531316	163631534	1158	0.36822634935379
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	163679913	174701404	1301	0.526241779327393
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	174701452	174710190	3	-0.521839559078217
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	5	174721574	180624927	450	0.442980885505676
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	110391	516463	46	-0.210318148136139
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	583345	824853	38	-1.62495100498199
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	835950	10661279	1263	-0.186276614665985
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	10674064	25014626	1448	0.0761845111846924
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	25027094	29832180	406	-0.666648238897324
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	29832410	29832410	1	1.48937010765076
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	29833274	29833274	1	-2.38993287086487
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	29833300	29949000	43	-0.71851533651352
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	29979615	30006876	8	0.119629174470901
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	30015940	30096621	22	-0.798529326915741
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	30108259	31314958	219	0.360488653182983
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	31316319	31747736	82	0.690728545188904
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	31762711	36127314	469	0.13770866394043
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	36165946	37921261	215	-0.177453696727753
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	37990758	41303418	453	0.389346361160278
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	41305012	52171461	902	0.219589412212372
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	52202015	52642037	59	0.499697685241699
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	52651585	54776183	192	-0.146586328744888
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	54809644	55370554	26	-1.15725338459015
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	55388261	55533346	21	-0.553954362869263
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	55566203	57319766	91	-1.15412092208862
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	57334141	58147198	24	0.324092745780945
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	58254013	58882675	15	-0.90187120437622
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	58885344	77471874	951	0.200371980667114
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	77497537	77497537	1	-3.48942399024963
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	77497656	77497656	1	-1.26404213905334
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	77526970	111695986	2389	0.170918822288513
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	111696448	111705347	2	-0.666203528642654
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	111721479	130068136	1188	0.202744722366333
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	130071532	130358252	30	0.891137540340424
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	130387528	136951357	555	0.171311616897583
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	136961645	136961671	2	-1.26672071218491
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	136981181	167144035	2749	0.154177308082581
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	6	167144536	170747902	410	0.275944709777832
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	145340	5846784	481	-0.21929395198822
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	5850048	5851852	2	-2.70825612545013
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	5894482	16379150	781	-0.0859246850013733
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	16379765	16380006	2	-1.72900605201721
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	16424109	43467840	2791	-0.102412939071655
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	43501782	61483741	1235	0.653139591217041
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	61718176	69040697	450	-0.63715398311615
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	69053215	69202211	7	-1.5547833442688
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	69218189	75844750	364	-0.65520828962326
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	75845745	91669085	988	-0.475694596767426
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	91688825	91816878	4	-1.45927858352661
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	91867238	96959989	304	-0.46208980679512
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	97018553	116400403	1104	-0.60043340921402
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	116421765	124957183	445	-0.109485328197479
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	125000198	136769909	1064	-0.632935166358948
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	136772491	143908690	558	-0.153860449790955
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	7	143908703	158819393	1300	-0.64352798461914
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	189547	13760895	1807	-0.664819300174713
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	13770755	13771100	2	-1.67253863811493
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	13771278	36403452	2490	-0.605078130960464
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	36431886	43248834	506	-0.214130103588104
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	43330188	43330188	1	-1.61695444583893
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	43334397	43347778	2	1.00279897451401
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	43362114	43782832	5	-0.324966967105865
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	47064078	61791127	1091	0.562525510787964
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	61798545	70377926	552	0.702721118927002
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	70382579	97434912	1727	0.553837776184082
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	97435182	98315830	76	0.802127838134766
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	98333370	102494126	309	0.478511333465576
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	102519442	114902287	797	1.03519153594971
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	114902356	128686794	1299	0.848791599273682
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	128694439	128694439	1	-0.721688389778137
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	128694571	128694571	1	2.86136698722839
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	8	128699305	146264218	1949	0.83350133895874
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	36431	2491441	391	-1.15922546386719
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	2503406	2503589	2	-0.0327098965644836
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	2517900	11726245	1069	-1.11764276027679
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	11726515	11727404	2	-2.46418702602386
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	11729680	25380689	1298	-1.06582534313202
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	25381048	25381733	2	-2.83508741855621
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	25383631	28442237	334	-1.07615280151367
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	28577774	30504590	135	0.60620903968811
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	30521968	38728620	823	-0.0334715843200684
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	38732421	89146386	1711	-0.175381064414978
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	89149421	89151919	3	1.10965275764465
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	89156787	128777091	4180	-0.193245500326157
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	9	128781862	140207187	968	-0.269544064998627
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	101955	3295354	448	0.416626930236816
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	3295411	24282209	2500	0.638773739337921
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	24284067	29594390	561	0.792359948158264
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	29597965	53254240	1868	0.381297051906586
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	53261018	53261240	2	-0.34668043255806
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	53297578	65321110	1097	0.499159693717957
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	65326982	88723130	2437	-0.156082093715668
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	88758233	94495401	484	-0.048237144947052
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	94496718	132435221	4488	-0.149291574954987
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	132437174	132437952	3	-1.45414984226227
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	10	132439197	135284541	332	-0.205313503742218
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	196767	4795544	367	-0.177970170974731
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	4808740	10496919	687	0.449439525604248
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	10503750	11264487	154	-0.101615220308304
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	11267795	12297081	247	0.425867676734924
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	12328153	27766800	1669	-0.112346589565277
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	27778508	29778671	123	0.499193429946899
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	29799247	36546198	831	-0.0994870066642761
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	36574821	39257588	187	0.544709086418152
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	39265865	45522669	666	-0.089158833026886
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	45530019	48203033	177	0.449142098426819
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	48215183	48394513	9	-0.0877991914749146
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	48419662	49938206	47	0.536688327789307
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	50023474	59439561	452	0.181136250495911
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	59488463	59786525	25	0.798672676086426
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	59794143	61896645	237	-0.181178331375122
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	61913994	62050398	17	0.333400249481201
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	62222652	65128180	173	-0.20524650812149
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	65175940	67177843	105	0.0750681161880493
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	67178655	68609609	77	-0.213073074817657
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	68628024	70072584	156	1.456622838974
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	70080859	74007856	296	-0.166263252496719
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	74035012	78009178	333	0.487268924713135
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	78034979	80134843	299	-0.118693709373474
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	80135129	97765783	1487	-0.537187218666077
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	97769874	97769874	1	-2.16008472442627
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	97775478	120571334	2482	-0.605890303850174
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	120593368	120845443	37	-0.1387979388237
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	120864475	132939635	1438	-0.615471214056015
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	11	132941387	134449982	184	-1.51545190811157
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	36594	9186941	1060	-0.281267523765564
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	9198262	54935044	3907	-0.194095492362976
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	54953565	59802379	318	0.609669923782349
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	59802394	64377150	344	-0.160239547491074
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	64395230	66532700	207	1.58923768997192
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	66543553	68442318	227	1.08718514442444
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	68467694	68547125	7	-0.361369967460632
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	68551936	70653922	201	1.05926609039307
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	70664866	71101177	33	1.56463003158569
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	71265336	79594907	505	-0.0565354824066162
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	79635787	117438899	3479	-0.167455494403839
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	117441092	117441134	2	-2.442746758461
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	117456081	120034006	266	-0.231501817703247
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	120036087	120036475	2	-1.27982795238495
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	120038561	124943662	411	-0.212766945362091
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	12	124944391	132269467	921	0.0682766437530518
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	18097312	23309066	478	-0.25578761100769
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	23321240	24495837	138	0.16120320558548
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	24496118	28349572	480	0.305070817470551
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	28365098	96778959	5240	-0.526717573404312
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	96817037	97136396	21	-1.28458106517792
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	97137746	97946087	107	-0.593526780605316
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	97963138	108338223	1012	0.422357320785522
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	108340213	109862418	194	0.6340491771698
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	13	109869267	114063831	397	-0.121513545513153
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	14	19272965	20123097	81	0.0241061449050903
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	14	20130127	20788579	81	0.389877915382385
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	14	20788758	69791013	3926	0.0846316814422607
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	14	69797847	78504446	974	0.0267453193664551
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	14	78540896	85964760	530	0.111684739589691
