chr	start	end	band
8	55500000	66000000	q12
8	66000000	73900000	q13
8	73900000	93300000	q21
8	93300000	106200000	q22
8	106200000	117700000	q23
8	117700000	146364022	q24
9	0	9000000	p24
9	9000000	14200000	p23
9	14200000	19900000	p22
9	19900000	33200000	p21
9	33200000	41000000	p13
9	41000000	43600000	p12
9	43600000	49000000	p11
9	49000000	50700000	q11
9	50700000	65900000	q12
9	65900000	68700000	q13
9	68700000	90400000	q21
9	90400000	102600000	q22
9	102600000	114900000	q31
9	114900000	117700000	q32
9	117700000	130300000	q33
9	130300000	141213431	q34
X	0	24900000	p22
X	24900000	37600000	p21
X	37600000	60600000	p11
X	60600000	64600000	q11
X	64600000	67800000	q12
X	67800000	76000000	q13
X	76000000	98300000	q21
X	98300000	108700000	q22
X	108700000	116500000	q23
X	116500000	120900000	q24
X	120900000	128700000	q25
X	128700000	138000000	q26
X	138000000	147100000	q27
X	147100000	155270560	q28
Y	0	12500000	p11
Y	12500000	28800000	q11
Y	28800000	59373566	q12
